number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.6568181818181817,2026-09-24 15:06:07.174987,2026-09-24 15:06:54.596159,0 days 00:00:47.421172,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.5888026607538802,2026-09-24 15:06:54.596159,2026-09-24 15:07:24.125245,0 days 00:00:29.529086,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.552549889135255,2026-09-24 15:07:24.127298,2026-09-24 15:07:43.839357,0 days 00:00:19.712059,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6760532150776053,2026-09-24 15:07:43.840379,2026-09-24 15:08:33.281088,0 days 00:00:49.440709,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6644678492239469,2026-09-24 15:08:33.309537,2026-09-24 15:08:44.673257,0 days 00:00:11.363720,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.6157982261640799,2026-09-24 15:08:44.673257,2026-09-24 15:09:01.374666,0 days 00:00:16.701409,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.6306818181818181,2026-09-24 15:09:01.376210,2026-09-24 15:09:16.318701,0 days 00:00:14.942491,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.7108647450110864,2026-09-24 15:09:16.320263,2026-09-24 15:09:45.531573,0 days 00:00:29.211310,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.6590909090909092,2026-09-24 15:09:45.532595,2026-09-24 15:09:59.836258,0 days 00:00:14.303663,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6073170731707317,2026-09-24 15:09:59.836258,2026-09-24 15:10:28.145024,0 days 00:00:28.308766,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
