number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_recon_weight,params_weight_decay,state
0,0.6361419068736142,2026-09-24 15:11:18.418780,2026-09-24 15:12:13.286281,0 days 00:00:54.867501,8,0.16239780813448107,0.0003574712922600243,0.011900590783184251,0.006351221010640704,COMPLETE
1,0.5304323725055432,2026-09-24 15:12:13.286281,2026-09-24 15:12:29.201300,0 days 00:00:15.915019,32,0.4329770563201687,0.00190303683817358,0.018891200276189388,0.00025378155082656634,COMPLETE
2,0.5909090909090908,2026-09-24 15:12:29.202386,2026-09-24 15:12:38.985953,0 days 00:00:09.783567,16,0.21649165607921678,0.00018559980846490597,0.06252287916406217,5.415244119402541e-06,PRUNED
3,0.6042128603104213,2026-09-24 15:12:38.987631,2026-09-24 15:12:58.559614,0 days 00:00:19.571983,32,0.1798695128633439,0.000160712385120399,0.04666963767236924,1.4742753159914662e-05,COMPLETE
4,0.7159090909090908,2026-09-24 15:12:58.562980,2026-09-24 15:13:15.139148,0 days 00:00:16.576168,8,0.4795542149013333,0.000750011895041699,0.18043311207136256,1.5339162591163623e-06,PRUNED
5,0.6534090909090908,2026-09-24 15:13:15.139148,2026-09-24 15:13:24.619093,0 days 00:00:09.479945,16,0.14881529393791154,0.0015635108708133452,0.04407984038169244,1.6536937182824424e-05,PRUNED
6,0.6420454545454546,2026-09-24 15:13:24.619093,2026-09-24 15:13:34.083555,0 days 00:00:09.464462,16,0.3080272084711243,0.00011240768803005555,0.05143828405076928,0.004337920697490943,PRUNED
7,0.5397727272727273,2026-09-24 15:13:34.084522,2026-09-24 15:13:43.467252,0 days 00:00:09.382730,16,0.3391599915244341,0.00018752209455786411,0.15826541904647565,0.00755681014127443,PRUNED
8,0.5170454545454546,2026-09-24 15:13:43.468249,2026-09-24 15:13:49.932484,0 days 00:00:06.464235,32,0.20853961270955837,0.00013511829476450826,0.11973258472758717,6.0803901902966035e-06,PRUNED
9,0.6590909090909092,2026-09-24 15:13:49.932484,2026-09-24 15:13:55.772865,0 days 00:00:05.840381,32,0.12982025747190834,0.0003364867144187955,0.19229567074543377,1.329652145729951e-05,PRUNED
