number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_gamma_mode,state
0,0.7935144124168514,2026-09-24 15:02:43.941854,2026-09-24 15:02:49.353403,0 days 00:00:05.411549,2.481040974867813,,auto,COMPLETE
1,0.7874168514412416,2026-09-24 15:02:49.354412,2026-09-24 15:02:54.597571,0 days 00:00:05.243159,29.154431891537552,,scale,COMPLETE
2,0.7935144124168514,2026-09-24 15:02:54.598624,2026-09-24 15:02:59.833297,0 days 00:00:05.234673,75.7947995334801,,auto,COMPLETE
3,0.8693181818181819,2026-09-24 15:02:59.833297,2026-09-24 15:03:04.668363,0 days 00:00:04.835066,0.05415244119402541,,scale,PRUNED
4,0.8470620842572063,2026-09-24 15:03:04.669383,2026-09-24 15:03:10.453001,0 days 00:00:05.783618,0.14618962793704965,,auto,COMPLETE
5,0.7966186252771619,2026-09-24 15:03:10.454002,2026-09-24 15:03:16.083213,0 days 00:00:05.629211,0.2920433847181412,,scale,COMPLETE
6,0.8125,2026-09-24 15:03:16.083213,2026-09-24 15:03:20.286848,0 days 00:00:04.203635,1.1400863701127328,,auto,PRUNED
7,0.8227827050997782,2026-09-24 15:03:20.286848,2026-09-24 15:03:26.316287,0 days 00:00:06.029439,0.04809461967501574,1.8205657658407255e-05,numeric,COMPLETE
8,0.845509977827051,2026-09-24 15:03:26.317286,2026-09-24 15:03:32.039979,0 days 00:00:05.722693,0.1653693718282443,,auto,COMPLETE
9,0.8920454545454546,2026-09-24 15:03:32.040979,2026-09-24 15:03:36.870426,0 days 00:00:04.829447,0.030771802712506867,,auto,PRUNED
