number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.4975609756097561,2026-09-24 15:20:46.666376,2026-09-24 15:21:24.893713,0 days 00:00:38.227337,8,0.16239780813448107,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.49878048780487805,2026-09-24 15:21:24.894714,2026-09-24 15:21:47.387785,0 days 00:00:22.493071,16,0.4879639408647978,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.49878048780487805,2026-09-24 15:21:47.387785,2026-09-24 15:22:02.131018,0 days 00:00:14.743233,32,0.3099025726528951,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.49634146341463414,2026-09-24 15:22:02.131018,2026-09-24 15:22:39.605262,0 days 00:00:37.474244,8,0.2465447373174767,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.49878048780487805,2026-09-24 15:22:39.605262,2026-09-24 15:22:54.044500,0 days 00:00:14.439238,32,0.1185801650879991,0.000471705203762518,0.0013826232179369874,COMPLETE
5,0.49878048780487805,2026-09-24 15:22:54.046500,2026-09-24 15:23:08.699613,0 days 00:00:14.653113,32,0.4233589392465845,0.0007896186801026692,4.809461967501575e-06,COMPLETE
6,0.4975609756097561,2026-09-24 15:23:08.699613,2026-09-24 15:23:46.646129,0 days 00:00:37.946516,8,0.29807076404450805,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.49634146341463414,2026-09-24 15:23:46.647133,2026-09-24 15:24:09.597541,0 days 00:00:22.950408,16,0.3080272084711243,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.5024390243902439,2026-09-24 15:24:09.597541,2026-09-24 15:24:47.150327,0 days 00:00:37.552786,8,0.4579309401710595,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5,2026-09-24 15:24:47.150327,2026-09-24 15:25:09.480817,0 days 00:00:22.330490,16,0.23013213230530574,0.0007641361869233315,0.0048696409415209,COMPLETE
