Protocol,ProtocolKey,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,BestParams,RunDir
Optuna raw XYZ PointNet,pointnet_raw,All_coef,left,PointNet,42,10,0.7767569472412404,0.6351351351351351,0.6658653846153846,0.7692307692307693,0.5625,0.6318407960199005,0.8012820512820513,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef\left\PointNet\seed_42
Optuna raw XYZ PointNet,pointnet_raw,All_coef,left,PointNet,123,10,0.7767569472412404,0.6486486486486487,0.702724358974359,0.8846153846153846,0.5208333333333334,0.6483918128654971,0.8157051282051282,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef\left\PointNet\seed_123
Optuna raw XYZ PointNet,pointnet_raw,All_coef,left,PointNet,2026,10,0.7767569472412404,0.7567567567567568,0.7243589743589745,0.6153846153846154,0.8333333333333334,0.7281632653061225,0.8157051282051282,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef\left\PointNet\seed_2026
Optuna raw XYZ PointNet,pointnet_raw,All_coef,right,PointNet,42,10,0.8332039911308204,0.72,0.665909090909091,0.55,0.7818181818181819,0.6576831123668767,0.7945454545454546,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef\right\PointNet\seed_42
Optuna raw XYZ PointNet,pointnet_raw,All_coef,right,PointNet,123,10,0.8332039911308204,0.7333333333333333,0.7863636363636364,0.9,0.6727272727272727,0.7150455927051672,0.8395454545454546,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef\right\PointNet\seed_123
Optuna raw XYZ PointNet,pointnet_raw,All_coef,right,PointNet,2026,10,0.8332039911308204,0.7866666666666666,0.7431818181818182,0.65,0.8363636363636363,0.7354497354497355,0.7459090909090909,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef\right\PointNet\seed_2026
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,left,PointNet,42,10,0.5818759936406995,0.75,0.45,0.0,0.9,0.4285714285714286,0.35,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds004469\left\PointNet\seed_42
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,left,PointNet,123,10,0.5818759936406995,0.16666666666666666,0.1,0.0,0.2,0.14285714285714288,0.04999999999999999,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds004469\left\PointNet\seed_123
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,left,PointNet,2026,10,0.5818759936406995,0.75,0.45,0.0,0.9,0.4285714285714286,0.15000000000000002,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds004469\left\PointNet\seed_2026
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,right,PointNet,42,10,0.7272727272727273,0.5,0.2727272727272727,0.0,0.5454545454545454,0.33333333333333326,0.0,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds004469\right\PointNet\seed_42
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,right,PointNet,123,10,0.7272727272727273,0.6666666666666666,0.36363636363636365,0.0,0.7272727272727273,0.39999999999999997,0.0,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds004469\right\PointNet\seed_123
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds004469,right,PointNet,2026,10,0.7272727272727273,0.5,0.2727272727272727,0.0,0.5454545454545454,0.33333333333333326,0.09090909090909094,"{""batch_size"": 8, ""dropout"": 0.34758845505563507, ""lr"": 0.00028180680291847244, ""weight_decay"": 2.4586032763280077e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds004469\right\PointNet\seed_2026
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,left,PointNet,42,10,0.8510971786833856,0.8064516129032258,0.8267543859649122,0.9166666666666666,0.7368421052631579,0.8046218487394958,0.9111842105263158,"{""batch_size"": 8, ""dropout"": 0.5474136752138244, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds005602\left\PointNet\seed_42
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,left,PointNet,123,10,0.8510971786833856,0.7903225806451613,0.7982456140350878,0.8333333333333334,0.7631578947368421,0.7858091947913899,0.8508771929824561,"{""batch_size"": 8, ""dropout"": 0.5474136752138244, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds005602\left\PointNet\seed_123
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,left,PointNet,2026,10,0.8510971786833856,0.8870967741935484,0.8925438596491229,0.9166666666666666,0.868421052631579,0.8834273435401558,0.9002192982456141,"{""batch_size"": 8, ""dropout"": 0.5474136752138244, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds005602\left\PointNet\seed_2026
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,right,PointNet,42,10,0.8564646304795063,0.873015873015873,0.8343301435406698,0.7368421052631579,0.9318181818181818,0.8444444444444444,0.8947368421052632,"{""batch_size"": 8, ""dropout"": 0.17799726016810133, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds005602\right\PointNet\seed_42
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,right,PointNet,123,10,0.8564646304795063,0.8095238095238095,0.8337320574162679,0.8947368421052632,0.7727272727272727,0.7945652173913044,0.8779904306220095,"{""batch_size"": 8, ""dropout"": 0.17799726016810133, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds005602\right\PointNet\seed_123
Optuna raw XYZ PointNet,pointnet_raw,All_coef_Ds005602,right,PointNet,2026,10,0.8564646304795063,0.746031746031746,0.7733253588516746,0.8421052631578947,0.7045454545454546,0.7307692307692308,0.8385167464114832,"{""batch_size"": 8, ""dropout"": 0.17799726016810133, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_optuna_current_spharm_80_20_20260922\final\pointnet_raw\All_coef_Ds005602\right\PointNet\seed_2026
