number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.7653795811518325,2026-09-22 10:44:09.072649,2026-09-22 10:44:52.603444,0 days 00:00:43.530795,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.7767569472412404,2026-09-22 10:44:52.603444,2026-09-22 10:45:14.251459,0 days 00:00:21.648015,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6792690293999195,2026-09-22 10:45:14.251459,2026-09-22 10:45:26.158484,0 days 00:00:11.907025,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.6993556182037858,2026-09-22 10:45:26.158484,2026-09-22 10:45:51.154292,0 days 00:00:24.995808,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5801198147402336,2026-09-22 10:45:51.154292,2026-09-22 10:45:56.844580,0 days 00:00:05.690288,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6465716874748288,2026-09-22 10:45:56.844580,2026-09-22 10:46:05.379486,0 days 00:00:08.534906,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.7379178413209827,2026-09-22 10:46:05.379486,2026-09-22 10:46:35.700574,0 days 00:00:30.321088,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6333819975835683,2026-09-22 10:46:35.700574,2026-09-22 10:46:49.687445,0 days 00:00:13.986871,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6526631091421667,2026-09-22 10:46:49.687445,2026-09-22 10:47:23.533323,0 days 00:00:33.845878,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5446033024567056,2026-09-22 10:47:23.533323,2026-09-22 10:47:28.980893,0 days 00:00:05.447570,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
