number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8083148558758315,2026-09-22 10:47:53.862000,2026-09-22 10:48:35.346803,0 days 00:00:41.484803,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.7950665188470066,2026-09-22 10:48:35.346803,2026-09-22 10:48:59.887817,0 days 00:00:24.541014,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.7092017738359202,2026-09-22 10:48:59.887817,2026-09-22 10:49:13.100368,0 days 00:00:13.212551,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7860864745011087,2026-09-22 10:49:13.100368,2026-09-22 10:49:52.059929,0 days 00:00:38.959561,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.6075942350332595,2026-09-22 10:49:52.059929,2026-09-22 10:49:59.729455,0 days 00:00:07.669526,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6205099778270511,2026-09-22 10:49:59.729455,2026-09-22 10:50:08.029146,0 days 00:00:08.299691,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.8332039911308204,2026-09-22 10:50:08.029146,2026-09-22 10:50:50.798552,0 days 00:00:42.769406,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.6304323725055432,2026-09-22 10:50:50.798552,2026-09-22 10:51:01.550404,0 days 00:00:10.751852,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6532705099778271,2026-09-22 10:51:01.550404,2026-09-22 10:51:31.386440,0 days 00:00:29.836036,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6572062084257206,2026-09-22 10:51:31.386440,2026-09-22 10:51:43.932169,0 days 00:00:12.545729,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
