number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8108672936259143,2026-09-22 10:54:28.319080,2026-09-22 10:54:58.007856,0 days 00:00:29.688776,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.7773921480818032,2026-09-22 10:54:58.007856,2026-09-22 10:55:20.542240,0 days 00:00:22.534384,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6514778325123153,2026-09-22 10:55:20.542240,2026-09-22 10:55:29.353009,0 days 00:00:08.810769,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.8061277802657113,2026-09-22 10:55:29.353009,2026-09-22 10:56:02.081175,0 days 00:00:32.728166,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5624720107478728,2026-09-22 10:56:02.081175,2026-09-22 10:56:06.369771,0 days 00:00:04.288596,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6377071204657412,2026-09-22 10:56:06.369771,2026-09-22 10:56:11.849276,0 days 00:00:05.479505,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.8216151664427527,2026-09-22 10:56:11.849276,2026-09-22 10:56:47.031110,0 days 00:00:35.181834,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.8306090461262875,2026-09-22 10:56:47.031110,2026-09-22 10:57:05.355071,0 days 00:00:18.323961,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,COMPLETE
8,0.8510971786833856,2026-09-22 10:57:05.355071,2026-09-22 10:57:41.118147,0 days 00:00:35.763076,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5559785042543663,2026-09-22 10:57:41.118147,2026-09-22 10:57:46.278520,0 days 00:00:05.160373,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
