number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8564646304795063,2026-09-22 10:58:25.288367,2026-09-22 10:59:04.158351,0 days 00:00:38.869984,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8381072954581421,2026-09-22 10:59:04.158351,2026-09-22 10:59:29.244453,0 days 00:00:25.086102,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.7705333122329483,2026-09-22 10:59:29.246080,2026-09-22 10:59:41.774931,0 days 00:00:12.528851,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.61690932109511,2026-09-22 10:59:41.774931,2026-09-22 10:59:51.691803,0 days 00:00:09.916872,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5774647887323944,2026-09-22 10:59:51.691803,2026-09-22 10:59:56.321445,0 days 00:00:04.629642,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.6211425858521917,2026-09-22 10:59:56.321445,2026-09-22 11:00:03.449655,0 days 00:00:07.128210,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6211425858521917,2026-09-22 11:00:03.449655,2026-09-22 11:00:18.313098,0 days 00:00:14.863443,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6422693464155721,2026-09-22 11:00:18.313098,2026-09-22 11:00:26.709564,0 days 00:00:08.396466,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.8465738249723057,2026-09-22 11:00:26.709564,2026-09-22 11:01:00.963663,0 days 00:00:34.254099,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.6212217122962493,2026-09-22 11:01:00.963663,2026-09-22 11:01:08.793729,0 days 00:00:07.830066,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
