Protocol,ProtocolKey,Cohort,Side,Model,EvalSeed,OptunaTrials,BestOOF_BalancedAccuracy,Test_Accuracy,Test_BalancedAccuracy,Test_Sensitivity,Test_Specificity,Test_F1_Macro,Test_ROC_AUC,BestParams,RunDir
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef,left,PointNet,42,10,0.7741894885219492,0.7027027027027027,0.7355769230769231,0.8461538461538461,0.625,0.6991869918699187,0.8020833333333335,"{""batch_size"": 8, ""dropout"": 0.17799726016810133, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef\left\PointNet\seed_42
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef,left,PointNet,123,10,0.7741894885219492,0.6891891891891891,0.6634615384615384,0.5769230769230769,0.75,0.6619662363455809,0.7243589743589743,"{""batch_size"": 8, ""dropout"": 0.17799726016810133, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef\left\PointNet\seed_123
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef,left,PointNet,2026,10,0.7741894885219492,0.7567567567567568,0.6626602564102564,0.34615384615384615,0.9791666666666666,0.6696428571428572,0.8229166666666667,"{""batch_size"": 8, ""dropout"": 0.17799726016810133, ""lr"": 0.0003574712922600243, ""weight_decay"": 0.006351221010640704}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef\left\PointNet\seed_2026
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef,right,PointNet,42,10,0.8317627494456763,0.7866666666666666,0.615909090909091,0.25,0.9818181818181818,0.6277915632754343,0.7881818181818181,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef\right\PointNet\seed_42
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef,right,PointNet,123,10,0.8317627494456763,0.76,0.7250000000000001,0.65,0.8,0.7105488850771869,0.769090909090909,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef\right\PointNet\seed_123
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef,right,PointNet,2026,10,0.8317627494456763,0.84,0.7954545454545454,0.7,0.8909090909090909,0.7954545454545454,0.8145454545454546,"{""batch_size"": 16, ""dropout"": 0.5849549260809972, ""lr"": 0.00012184186502221769, ""weight_decay"": 0.0029154431891537554}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef\right\PointNet\seed_2026
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds004469,left,PointNet,42,10,0.629570747217806,0.8333333333333334,0.5,0.0,1.0,0.45454545454545453,0.09999999999999998,"{""batch_size"": 8, ""dropout"": 0.5474136752138244, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef_Ds004469\left\PointNet\seed_42
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds004469,left,PointNet,123,10,0.629570747217806,0.75,0.45,0.0,0.9,0.4285714285714286,0.19999999999999996,"{""batch_size"": 8, ""dropout"": 0.5474136752138244, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef_Ds004469\left\PointNet\seed_123
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds004469,left,PointNet,2026,10,0.629570747217806,0.6666666666666666,0.6,0.5,0.7,0.5555555555555555,0.5,"{""batch_size"": 8, ""dropout"": 0.5474136752138244, ""lr"": 0.000642033033629786, ""weight_decay"": 5.4880470007660465e-06}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef_Ds004469\left\PointNet\seed_2026
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds004469,right,PointNet,42,10,0.8138528138528138,0.75,0.4090909090909091,0.0,0.8181818181818182,0.4285714285714286,0.0,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef_Ds004469\right\PointNet\seed_42
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds004469,right,PointNet,123,10,0.8138528138528138,0.3333333333333333,0.18181818181818182,0.0,0.36363636363636365,0.25000000000000006,0.0,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef_Ds004469\right\PointNet\seed_123
Optuna fold-local PLS-DA PointNet,pointnet_plsda,All_coef_Ds004469,right,PointNet,2026,10,0.8138528138528138,0.5833333333333334,0.3181818181818182,0.0,0.6363636363636364,0.3684210526315789,0.0,"{""batch_size"": 8, ""dropout"": 0.28318092164684583, ""lr"": 0.0004345454109729479, ""weight_decay"": 1.461896279370496e-05}",C:\Users\IHCK\Desktop\17-9-2569\Hippocampal-Shape-Analysis-for-Epilepsy-Detection\Model\pointnet_plsda_optuna_current_spharm_80_20_20260922\final\pointnet_plsda\All_coef_Ds004469\right\PointNet\seed_2026
