number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.7741894885219492,2026-09-22 11:02:10.317202,2026-09-22 11:02:47.899499,0 days 00:00:37.582297,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.7605718888441402,2026-09-22 11:02:47.899499,2026-09-22 11:03:12.660743,0 days 00:00:24.761244,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.6290022150624245,2026-09-22 11:03:12.660743,2026-09-22 11:03:24.820599,0 days 00:00:12.159856,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7701872734595248,2026-09-22 11:03:24.822111,2026-09-22 11:04:03.676516,0 days 00:00:38.854405,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5402235199355618,2026-09-22 11:04:03.676516,2026-09-22 11:04:07.993380,0 days 00:00:04.316864,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5118052758759565,2026-09-22 11:04:07.993380,2026-09-22 11:04:12.379222,0 days 00:00:04.385842,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.6547523157470801,2026-09-22 11:04:12.379222,2026-09-22 11:04:35.848830,0 days 00:00:23.469608,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.5775020136931132,2026-09-22 11:04:35.848830,2026-09-22 11:04:43.091270,0 days 00:00:07.242440,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.5826872734595248,2026-09-22 11:04:43.091270,2026-09-22 11:05:00.620536,0 days 00:00:17.529266,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.5734494563028595,2026-09-22 11:05:00.620536,2026-09-22 11:05:07.344206,0 days 00:00:06.723670,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
