number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.7700665188470066,2026-09-22 11:05:55.196540,2026-09-22 11:06:29.313380,0 days 00:00:34.116840,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8317627494456763,2026-09-22 11:06:29.313380,2026-09-22 11:06:58.452798,0 days 00:00:29.139418,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.7611973392461198,2026-09-22 11:06:58.452798,2026-09-22 11:07:15.837585,0 days 00:00:17.384787,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.797450110864745,2026-09-22 11:07:15.837585,2026-09-22 11:08:02.916310,0 days 00:00:47.078725,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.6640243902439025,2026-09-22 11:08:02.916310,2026-09-22 11:08:14.160737,0 days 00:00:11.244427,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5938470066518847,2026-09-22 11:08:14.160737,2026-09-22 11:08:20.785136,0 days 00:00:06.624399,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.7859756097560975,2026-09-22 11:08:20.785136,2026-09-22 11:08:56.847031,0 days 00:00:36.061895,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,COMPLETE
7,0.587749445676275,2026-09-22 11:08:56.847031,2026-09-22 11:09:04.119478,0 days 00:00:07.272447,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.596119733924612,2026-09-22 11:09:04.119478,2026-09-22 11:09:23.355324,0 days 00:00:19.235846,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.6129711751662972,2026-09-22 11:09:23.355324,2026-09-22 11:09:30.988702,0 days 00:00:07.633378,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
