number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.7034632034632035,2026-09-22 11:10:44.877790,2026-09-22 11:10:54.783811,0 days 00:00:09.906021,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.48376623376623373,2026-09-22 11:10:54.784810,2026-09-22 11:11:01.203075,0 days 00:00:06.418265,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.5292207792207793,2026-09-22 11:11:01.203075,2026-09-22 11:11:04.445647,0 days 00:00:03.242572,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.8138528138528138,2026-09-22 11:11:04.445647,2026-09-22 11:11:15.161832,0 days 00:00:10.716185,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,COMPLETE
4,0.5,2026-09-22 11:11:15.161832,2026-09-22 11:11:16.255440,0 days 00:00:01.093608,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.4880952380952381,2026-09-22 11:11:16.255440,2026-09-22 11:11:17.208616,0 days 00:00:00.953176,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.579004329004329,2026-09-22 11:11:17.208616,2026-09-22 11:11:21.810366,0 days 00:00:04.601750,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.48376623376623373,2026-09-22 11:11:21.810366,2026-09-22 11:11:23.300676,0 days 00:00:01.490310,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.6893939393939394,2026-09-22 11:11:23.300676,2026-09-22 11:11:31.306133,0 days 00:00:08.005457,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,COMPLETE
9,0.5768398268398268,2026-09-22 11:11:31.306133,2026-09-22 11:11:33.267473,0 days 00:00:01.961340,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
