number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
0,0.8263546798029557,2026-09-22 11:11:44.703380,2026-09-22 11:12:20.449433,0 days 00:00:35.746053,8,0.17799726016810133,0.0003574712922600243,0.006351221010640704,COMPLETE
1,0.8410956859232721,2026-09-22 11:12:20.449433,2026-09-22 11:12:40.894241,0 days 00:00:20.444808,16,0.5849549260809972,0.00012184186502221769,0.0029154431891537554,COMPLETE
2,0.7191745036572623,2026-09-22 11:12:40.894241,2026-09-22 11:12:52.389318,0 days 00:00:11.495077,32,0.36237821581611895,0.0016967533607196547,7.068974950624607e-06,COMPLETE
3,0.7136512912374982,2026-09-22 11:12:52.389318,2026-09-22 11:13:15.842304,0 days 00:00:23.452986,8,0.28318092164684583,0.0004345454109729479,1.461896279370496e-05,PRUNED
4,0.5427302582474997,2026-09-22 11:13:15.842304,2026-09-22 11:13:20.000679,0 days 00:00:04.158375,32,0.12322520635999887,0.000471705203762518,0.0013826232179369874,PRUNED
5,0.5869905956112853,2026-09-22 11:13:20.000679,2026-09-22 11:13:24.712452,0 days 00:00:04.711773,32,0.5041986740582306,0.0007896186801026692,4.809461967501575e-06,PRUNED
6,0.7591431556948798,2026-09-22 11:13:24.712452,2026-09-22 11:13:47.776824,0 days 00:00:23.064372,8,0.34758845505563507,0.00028180680291847244,2.4586032763280077e-06,PRUNED
7,0.6399462606359159,2026-09-22 11:13:47.776824,2026-09-22 11:13:56.104969,0 days 00:00:08.328145,16,0.3600340105889054,0.00011240768803005555,0.004337920697490943,PRUNED
8,0.7231676369607404,2026-09-22 11:13:56.104969,2026-09-22 11:14:18.267588,0 days 00:00:22.162619,8,0.5474136752138244,0.000642033033629786,5.4880470007660465e-06,PRUNED
9,0.7236527839976117,2026-09-22 11:14:18.267588,2026-09-22 11:14:28.593081,0 days 00:00:10.325493,16,0.2626651653816322,0.0007641361869233315,0.0048696409415209,PRUNED
